X,Y,fid,fclass,population,name,icon_url
2.8409208,36.7123553,"507",town,"51552",Zeralda,./0.png
3.2094611,36.7149768,"508",town,"80033",Dar El Beida,./0.png
4.4141916,36.3498654,"509",town,"0",Boudjellil بوجليل,./3.png
3.0500935,36.7474963,"510",town,"22813",El Mouradia,./2.png
6.701422,36.1788485,"511",town,"26132",Ouled Rahmoune,./2.png
2.8616102,36.523526,"512",town,"34860",Beni Mered,./1.png
6.929106,36.8441177,"513",town,"30404",Hammadi Krouma,./1.png
4.9782915,36.7106296,"514",town,"19345",وادي غير,./2.png
-0.313678,35.856348,"515",town,"85658",Arzew,./0.png
3.0783959,36.7442413,"516",town,"44050",Belouizdad,./0.png
4.4761469,36.6179239,"517",town,"24311",Bouzeguène,./2.png
2.7896358,36.5558374,"518",town,"40710",Oued El Alleug وادي العلايق,./1.png
3.0665715,36.7420067,"519",town,"40301",El Madania,./1.png
3.3317211,36.6505384,"520",town,"75962",Khemis El Khechna خميس الخشنة,./0.png
6.7091586,36.5327005,"521",town,"0",Zighoud Youcef,./3.png
1.5347489,36.185966,"522",town,"41710",Oued Fodda,./1.png
4.6643892,36.881989,"523",town,"0",Beni Ksila بني كسيلة,./3.png
6.8043312,36.7051396,"524",town,"20079",Emdjaz Edchich,./2.png
6.7218765,36.6782798,"525",town,"0",Sidi Mezghich,./3.png
2.226821,36.3047698,"526",town,"44201",Miliana,./0.png
2.0683322,36.2919441,"527",town,"24980",Arib,./2.png
1.6725159,36.2244328,"528",town,"57737",El Attaf,./0.png
6.012687,33.0104035,"529",town,"0",Tamacine,./3.png
5.9744271,32.9417127,"530",town,"14540",Blidet Amor,./4.png
5.5152002,32.6130464,"531",town,"14965",El Hadjira,./4.png
6.0932032,33.1930214,"532",town,"13751",Meggarine,./4.png
5.921089,33.9496809,"533",town,"49793",El M'Ghair,./0.png
5.9892386,33.5304325,"534",town,"50916",Djamâa,./0.png
6.8890251,36.8252292,"535",town,"18002",El Hadaïek,./4.png
5.8392064,36.1303925,"536",town,"24995",Bir El Arch,./2.png
9.8194482,28.6345729,"537",town,"0",Alrar ⴰⵍⵔⴰⵔ الرار,./3.png
0.7761842,35.9062679,"538",town,"20805",El Hamadna,./2.png
0.830558,35.9272152,"539",town,"33835",Djdiouia,./1.png
4.6977077,36.6995991,"540",town,"6653",Taourirt Ighil تاوريرت اغيل,./3.png
5.2759669,36.5476676,"541",town,"0",Bordj Mira,./3.png
-1.86322,35.093863,"542",town,"43774",Ghazaouet الغزوات,./0.png
3.6259116,32.2605169,"543",town,"50280",Metlili Chaanba,./0.png
0.3406103,28.7074429,"544",town,"11784",Aougrout ⴰⵡⴳⵔⵓⵜ أوقروت,./4.png
-0.3021104,27.6060965,"545",town,"0",Fenoughil,./3.png
-0.0251553,26.9612527,"546",town,"16683",سالي,./4.png
-0.2657533,27.7613334,"547",town,"0",تامنطيت,./3.png
-0.2161001,28.3509683,"548",town,"14895",Tsabit ⵜⵙⴰⴱⵉⵜ تسابيت,./4.png
5.3144869,36.1849367,"549",town,"43551",Ain Arnat,./0.png
2.4732963,36.3700317,"550",town,"21509",Boumedfaa,./2.png
